Feature,Importance_Mean,Importance_STD
area,370610.661704729,86193.04666309658
bathrooms,250531.37160666139,68371.50968534527
airconditioning,167566.5247166254,23939.021818429213
parking,93765.54944660887,24784.471173263766
stories,66453.5848270546,10258.727178762967
bedrooms,63110.85360308543,25610.002014425285
furnishingstatus,50254.05674482814,16901.530747541194
prefarea,48175.43297135497,18231.301813313326
mainroad,33077.68786791153,8614.682729943406
basement,32490.21208525286,23835.612020976016
hotwaterheating,29364.770513633594,9520.662221481793
guestroom,13110.067241437593,27900.594904664365
